"TEAM_ABBREVIATION","START_POSITION","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","AST","STL","BLK","TO","PF","PTS","PLUS_MINUS"
1,2,16.85,16,27,0.593,3,8,0.375,6,9,0.667,0,4,7,0,1,3,4,41,10
1,2,16.43,9,17,0.529,1,3,0.333,13,17,0.765,2,9,9,1,1,4,1,32,15
1,2,15.63,8,18,0.444,1,5,0.2,5,6,0.833,0,7,11,1,1,3,1,22,14
1,2,18.03,8,18,0.444,3,5,0.6,12,12,1,0,3,4,3,0,4,2,31,3
1,2,10.93,4,12,0.333,2,4,0.5,1,1,1,1,6,7,1,0,3,2,11,-15
1,2,17.67,14,30,0.467,1,3,0.333,7,9,0.778,1,7,5,4,1,3,1,36,-3
1,2,19.23,5,15,0.333,1,5,0.2,6,7,0.857,0,5,4,0,0,8,3,17,-13
1,2,7.8,6,11,0.545,2,3,0.667,4,6,0.667,1,6,6,1,1,1,1,18,14
1,2,2.43,3,6,0.5,2,3,0.667,4,4,1,1,1,4,0,1,4,0,12,-9
1,2,23.67,9,12,0.75,2,3,0.667,6,7,0.857,0,4,3,1,0,4,1,26,18
1,2,20.58,2,8,0.25,0,2,0,3,7,0.429,1,2,8,1,0,3,1,7,12
2,2,17.27,10,21,0.476,3,9,0.333,8,9,0.889,1,9,5,0,2,1,1,31,-16
2,2,13.65,10,17,0.588,4,8,0.5,4,6,0.667,0,8,2,0,0,3,0,28,-21
2,2,15.82,9,14,0.643,2,4,0.5,2,3,0.667,1,4,7,5,0,7,5,22,-21
2,2,13.6,14,22,0.636,3,3,1,4,5,0.8,2,8,3,2,0,4,3,35,11
2,2,8.88,9,17,0.529,2,3,0.667,5,6,0.833,3,3,3,3,0,4,1,25,0
2,2,7.65,8,12,0.667,0,0,0,9,9,1,1,3,6,1,1,2,1,25,27
2,2,0.35,2,10,0.2,1,3,0.333,2,3,0.667,1,1,4,0,1,3,5,7,1
2,2,11.8,13,21,0.619,2,3,0.667,4,4,1,0,10,5,2,0,2,3,32,10
2,2,15.77,9,14,0.643,1,2,0.5,7,9,0.778,1,4,7,3,0,6,2,26,24
2,2,18.35,9,18,0.5,1,5,0.2,3,6,0.5,0,7,6,2,3,3,3,22,4
2,2,16.83,11,18,0.611,1,5,0.2,2,2,1,1,9,5,3,0,4,3,25,-13
2,2,19.6,6,14,0.429,2,5,0.4,15,17,0.882,2,7,5,0,1,5,1,29,4
2,2,19.47,16,24,0.667,3,6,0.5,14,19,0.737,0,6,2,3,0,1,5,49,13
2,2,15.65,8,15,0.533,3,7,0.429,9,10,0.9,0,8,5,1,1,2,2,28,-14
2,2,15.12,9,18,0.5,0,3,0,4,6,0.667,0,4,3,2,1,2,2,22,6
2,2,12.35,10,15,0.667,0,0,0,2,2,1,1,4,3,0,0,1,2,22,10
2,2,18.9,10,19,0.526,1,5,0.2,10,12,0.833,0,7,9,3,1,2,3,31,12
2,2,11.98,10,18,0.556,1,2,0.5,9,10,0.9,0,10,6,2,0,2,1,30,20
2,2,15.83,11,17,0.647,1,5,0.2,9,12,0.75,0,6,8,4,0,4,2,32,6
2,2,14.53,8,16,0.5,4,8,0.5,7,10,0.7,0,9,1,0,0,3,1,27,0
2,2,13.35,10,22,0.455,3,7,0.429,4,8,0.5,3,5,5,0,1,3,2,27,-13
2,2,10.87,11,20,0.55,2,4,0.5,12,13,0.923,1,5,1,1,1,2,1,36,13
2,2,17.37,14,23,0.609,3,5,0.6,6,7,0.857,1,5,5,2,0,5,1,37,-8
2,2,13.13,9,16,0.563,0,3,0,11,14,0.786,1,9,6,2,0,3,0,29,-2
2,2,18.78,13,22,0.591,3,7,0.429,9,12,0.75,0,5,6,1,0,5,0,38,2
2,2,23.95,12,24,0.5,2,4,0.5,8,10,0.8,2,6,5,4,1,4,5,34,7
